Description,Mfg PN,Manufacturer,Package,Value,Mouser P/N,Digikey P/N,$/1k,Datasheet,Quantity,Ref ID
Cap Cer 0.1uF 50V X7R 0603 10%,GRM188R71H104KA93D,Murata,603,0.1uF,81-GRM39X104K50D,,$0.01 ,http://www.mouser.com/ds/2/281/c02e-2905.pdf,1,C1
Non-inverting Schmitt Trigger Buffer,NC7WZ17,ON Semiconductor,SOT-363 (SC-70),,,NC7WZ17P6XCT-ND,0.087,https://www.onsemi.com/pub/Collateral/NC7WZ17-D.PDF,1,U1
